Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.039, 2, 0
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-2 T, 2.616, 1387, 145
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.266, 253, 133
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 3.759, 1257, 153
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 1.56, 459, 153
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 3.71, 310, 153
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 2.172, 1364, 149
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 2.563, 1082, 138
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.002, 774, 129
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 6.499, 2299, 153
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 0.021, 1, 0
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 2.512, 610, 135
local, BFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 0.172, 54, 14
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-6 F, 3.056, 1122, 153
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-13 T, 2.242, 700, 122
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-15 F, 2.483, 936, 153
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-12 T, 0.083, 836, 153
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-11 F, 1.283, 11, 4
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-8 T, 2.756, 310, 153
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-9 F, 0.207, 85, 29
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-3 F, 1.243, 289, 151
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-14 T, 0.068, 12, 4
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-10 T, 0.22, 48, 29
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-7 T, 0.048, 2, 0
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-4 F, 0.044, 1, 0
local, DFS, DatabaseWithMutex-COL-02-CTLCardinality-5 F, 0.056, 13, 4
czero, BBFS, Dekker-PT-010-CTLCardinality-6 F, 8120.46, 61443, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-10 F, 3444.07, 24576, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-11 F, 2654.53, 30732, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-7 T, 2968.06, 55306, 6144
czero, BBFS, Dekker-PT-010-CTLCardinality-1 F, 1979.95, 43008, 6144
