Algorithm, Search strategy, Query, Modelname, #Results)
local, BestFS, CTLFireabilitySimple, FMS-PT-020, 
local, BestFS, CTLCardinality, GlobalResAllocation-PT-03, 9
local, BestFS, CTLFireability, GlobalResAllocation-PT-03, 1
local, BestFS, CTLFireabilitySimple, GlobalResAllocation-PT-03, 2
local, BestFS, CTLCardinality, HouseConstruction-PT-002, 14
local, BestFS, CTLFireability, HouseConstruction-PT-002, 14
local, BestFS, CTLFireabilitySimple, HouseConstruction-PT-002, 14
local, BestFS, CTLCardinality, HouseConstruction-PT-005, 5
local, BestFS, CTLFireability, HouseConstruction-PT-005, 4
local, BestFS, CTLFireabilitySimple, HouseConstruction-PT-005, 11
local, BestFS, CTLCardinality, HouseConstruction-PT-010, 2
local, BestFS, CTLFireability, HouseConstruction-PT-010, 
local, BestFS, CTLFireabilitySimple, HouseConstruction-PT-010, 
local, BestFS, CTLCardinality, IBMB2S565S3960-PT-none, 
local, BestFS, CTLFireability, IBMB2S565S3960-PT-none, 1
local, BestFS, CTLFireabilitySimple, IBMB2S565S3960-PT-none, 
local, BestFS, CTLCardinality, Kanban-PT-0005, 1
local, BestFS, CTLFireability, Kanban-PT-0005, 1
local, BestFS, CTLFireabilitySimple, Kanban-PT-0005, 8
local, BestFS, CTLCardinality, Kanban-PT-0010, 
local, BestFS, CTLFireability, Kanban-PT-0010, 4
local, BestFS, CTLFireabilitySimple, Kanban-PT-0010, 8
local, BestFS, CTLCardinality, Kanban-PT-0020, 
local, BestFS, CTLFireability, Kanban-PT-0020, 7
local, BestFS, CTLFireabilitySimple, Kanban-PT-0020, 5
local, BestFS, CTLCardinality, LamportFastMutEx-PT-2, 13
local, BestFS, CTLFireability, LamportFastMutEx-PT-2, 14
local, BestFS, CTLFireabilitySimple, LamportFastMutEx-PT-2, 12
local, BestFS, CTLCardinality, LamportFastMutEx-PT-3, 13
local, BestFS, CTLFireability, LamportFastMutEx-PT-3, 14
local, BestFS, CTLFireabilitySimple, LamportFastMutEx-PT-3, 12
local, BestFS, CTLCardinality, LamportFastMutEx-PT-4, 3
local, BestFS, CTLFireability, LamportFastMutEx-PT-4, 3
local, BestFS, CTLFireabilitySimple, LamportFastMutEx-PT-4, 9
local, BestFS, CTLCardinality, MAPK-PT-008, 
local, BestFS, CTLFireability, MAPK-PT-008, 7
local, BestFS, CTLFireabilitySimple, MAPK-PT-008, 8
local, BestFS, CTLCardinality, MAPK-PT-020, 
local, BestFS, CTLFireability, MAPK-PT-020, 2
