Algorithm, Search strategy, Query, Modelname, #Results),
global, BDFS, CTLFireability, FMS-PT-020, ,
global, BDFS, CTLFireabilitySimple, FMS-PT-020, ,
global, BDFS, CTLCardinality, GlobalResAllocation-PT-03,6,
global, BDFS, CTLFireability, GlobalResAllocation-PT-03,3,
global, BDFS, CTLFireabilitySimple, GlobalResAllocation-PT-03,10,
global, BDFS, CTLCardinality, HouseConstruction-PT-002,12,
global, BDFS, CTLFireability, HouseConstruction-PT-002,12,
global, BDFS, CTLFireabilitySimple, HouseConstruction-PT-002,12,
global, BDFS, CTLCardinality, HouseConstruction-PT-005,9,
global, BDFS, CTLFireability, HouseConstruction-PT-005,6,
global, BDFS, CTLFireabilitySimple, HouseConstruction-PT-005,11,
global, BDFS, CTLCardinality, HouseConstruction-PT-010, ,
global, BDFS, CTLFireability, HouseConstruction-PT-010, ,
global, BDFS, CTLFireabilitySimple, HouseConstruction-PT-010, ,
global, BDFS, CTLCardinality, IBMB2S565S3960-PT-none, ,
global, BDFS, CTLFireability, IBMB2S565S3960-PT-none, ,
global, BDFS, CTLFireabilitySimple, IBMB2S565S3960-PT-none, ,
global, BDFS, CTLCardinality, Kanban-PT-0005,9,
global, BDFS, CTLFireability, Kanban-PT-0005,5,
global, BDFS, CTLFireabilitySimple, Kanban-PT-0005,16,
global, BDFS, CTLCardinality, Kanban-PT-0010, ,
global, BDFS, CTLFireability, Kanban-PT-0010,3,
global, BDFS, CTLFireabilitySimple, Kanban-PT-0010,5,
global, BDFS, CTLCardinality, Kanban-PT-0020, ,
global, BDFS, CTLFireability, Kanban-PT-0020,5,
global, BDFS, CTLFireabilitySimple, Kanban-PT-0020,2,
global, BDFS, CTLCardinality, LamportFastMutEx-PT-2,14,
global, BDFS, CTLFireability, LamportFastMutEx-PT-2,14,
global, BDFS, CTLFireabilitySimple, LamportFastMutEx-PT-2,13,
global, BDFS, CTLCardinality, LamportFastMutEx-PT-3,10,
global, BDFS, CTLFireability, LamportFastMutEx-PT-3,9,
global, BDFS, CTLFireabilitySimple, LamportFastMutEx-PT-3,14,
global, BDFS, CTLCardinality, LamportFastMutEx-PT-4, ,
global, BDFS, CTLFireability, LamportFastMutEx-PT-4, ,
global, BDFS, CTLFireabilitySimple, LamportFastMutEx-PT-4, ,
global, BDFS, CTLCardinality, MAPK-PT-008, ,
global, BDFS, CTLFireability, MAPK-PT-008,6,
global, BDFS, CTLFireabilitySimple, MAPK-PT-008,8,
global, BDFS, CTLCardinality, MAPK-PT-020, ,
global, BDFS, CTLFireability, MAPK-PT-020,2,
global, BDFS, CTLFireabilitySimple, MAPK-PT-020,6,
global, BDFS, CTLCardinality, MAPK-PT-040, ,
global, BDFS, CTLFireability, MAPK-PT-040,1,
global, BDFS, CTLFireabilitySimple, MAPK-PT-040,6,
global, BDFS, CTLCardinality, MAPK-PT-080, ,
global, BDFS, CTLFireability, MAPK-PT-080,1,
global, BDFS, CTLFireabilitySimple, MAPK-PT-080,3,
global, BDFS, CTLCardinality, MAPK-PT-160, ,
global, BDFS, CTLFireability, MAPK-PT-160,1,
global, BDFS, CTLFireabilitySimple, MAPK-PT-160, ,
global, BDFS, CTLCardinality, MAPK-PT-320, ,
global, BDFS, CTLFireability, MAPK-PT-320, ,
global, BDFS, CTLFireabilitySimple, MAPK-PT-320,4,
global, BDFS, CTLCardinality, MultiwaySync-PT-none, ,
global, BDFS, CTLFireability, MultiwaySync-PT-none, ,
global, BDFS, CTLFireabilitySimple, MultiwaySync-PT-none, ,
global, BDFS, CTLCardinality, PermAdmissibility-PT-01,13,
global, BDFS, CTLFireability, PermAdmissibility-PT-01,14,
global, BDFS, CTLFireabilitySimple, PermAdmissibility-PT-01,11,
global, BDFS, CTLCardinality, PermAdmissibility-PT-02, ,
global, BDFS, CTLFireability, PermAdmissibility-PT-02, ,
global, BDFS, CTLFireabilitySimple, PermAdmissibility-PT-02, ,
global, BDFS, CTLCardinality, PermAdmissibility-PT-05, ,
global, BDFS, CTLFireability, PermAdmissibility-PT-05, ,
global, BDFS, CTLFireabilitySimple, PermAdmissibility-PT-05, ,
global, BDFS, CTLCardinality, Peterson-PT-2,9,
global, BDFS, CTLFireability, Peterson-PT-2,9,
global, BDFS, CTLFireabilitySimple, Peterson-PT-2,13,
global, BDFS, CTLCardinality, Peterson-PT-3, ,
global, BDFS, CTLFireability, Peterson-PT-3, ,
global, BDFS, CTLFireabilitySimple, Peterson-PT-3, ,
