Algorithm, Search strategy, Query, Modelname, #Results),
czero, DFS, CTLFireability, ResAllocation-PT-R003C003,10,
czero, DFS, CTLFireabilitySimple, ResAllocation-PT-R003C003,13,
czero, DFS, CTLCardinality, Ring-PT-none,2,
czero, DFS, CTLFireability, Ring-PT-none,1,
czero, DFS, CTLFireabilitySimple, Ring-PT-none,2,
czero, DFS, CTLCardinality, RwMutex-PT-r0010w0010,8,
czero, DFS, CTLFireability, RwMutex-PT-r0010w0010,1,
czero, DFS, CTLFireabilitySimple, RwMutex-PT-r0010w0010,14,
czero, DFS, CTLCardinality, RwMutex-PT-r0010w0020,15,
czero, DFS, CTLFireability, RwMutex-PT-r0010w0020,11,
czero, DFS, CTLFireabilitySimple, RwMutex-PT-r0010w0020,14,
czero, DFS, CTLCardinality, RwMutex-PT-r0010w0050,16,
czero, DFS, CTLFireability, RwMutex-PT-r0010w0050,10,
czero, DFS, CTLFireabilitySimple, RwMutex-PT-r0010w0050,13,
czero, DFS, CTLCardinality, SharedMemory-PT-000005,14,
czero, DFS, CTLFireability, SharedMemory-PT-000005,12,
czero, DFS, CTLFireabilitySimple, SharedMemory-PT-000005,13,
czero, DFS, CTLCardinality, SharedMemory-PT-000010,3,
czero, DFS, CTLFireability, SharedMemory-PT-000010,6,
czero, DFS, CTLFireabilitySimple, SharedMemory-PT-000010,14,
czero, DFS, CTLCardinality, SharedMemory-PT-000020,3,
czero, DFS, CTLFireability, SharedMemory-PT-000020,1,
czero, DFS, CTLFireabilitySimple, SharedMemory-PT-000020,4,
czero, DFS, CTLCardinality, SimpleLoadBal-PT-02,16,
czero, DFS, CTLFireability, SimpleLoadBal-PT-02,16,
czero, DFS, CTLFireabilitySimple, SimpleLoadBal-PT-02,16,
czero, DFS, CTLCardinality, SimpleLoadBal-PT-05,16,
czero, DFS, CTLFireability, SimpleLoadBal-PT-05,13,
czero, DFS, CTLFireabilitySimple, SimpleLoadBal-PT-05,16,
czero, DFS, CTLCardinality, SimpleLoadBal-PT-10,1,
czero, DFS, CTLFireability, SimpleLoadBal-PT-10,1,
czero, DFS, CTLFireabilitySimple, SimpleLoadBal-PT-10, ,
czero, DFS, CTLCardinality, TokenRing-PT-005,15,
czero, DFS, CTLFireability, TokenRing-PT-005,13,
czero, DFS, CTLFireabilitySimple, TokenRing-PT-005,11,
czero, DFS, CTLCardinality, TokenRing-PT-010,9,
czero, DFS, CTLFireability, TokenRing-PT-010,7,
czero, DFS, CTLFireabilitySimple, TokenRing-PT-010,11,
czero, DFS, CTLCardinality, TokenRing-PT-015,7,
czero, DFS, CTLFireability, TokenRing-PT-015,2,
czero, DFS, CTLFireabilitySimple, TokenRing-PT-015,8,
czero, DFS, CTLCardinality, UtahNoC-PT-none,1,
czero, DFS, CTLFireability, UtahNoC-PT-none, ,
czero, DFS, CTLFireabilitySimple, UtahNoC-PT-none, ,
czero, DFS, CTLCardinality, Vasy2003-PT-none, ,
czero, DFS, CTLFireability, Vasy2003-PT-none, ,
czero, DFS, CTLFireabilitySimple, Vasy2003-PT-none, ,1841
