Algorithm, Search strategy, Query, Modelname, #Results),
czero, BestFS, CTLFireability, FMS-PT-010, ,
czero, BestFS, CTLFireabilitySimple, FMS-PT-010, ,
czero, BestFS, CTLCardinality, FMS-PT-020, ,
czero, BestFS, CTLFireability, FMS-PT-020, ,
czero, BestFS, CTLFireabilitySimple, FMS-PT-020, ,
czero, BestFS, CTLCardinality, GlobalResAllocation-PT-03,10,
czero, BestFS, CTLFireability, GlobalResAllocation-PT-03,1,
czero, BestFS, CTLFireabilitySimple, GlobalResAllocation-PT-03,2,
czero, BestFS, CTLCardinality, HouseConstruction-PT-002,14,
czero, BestFS, CTLFireability, HouseConstruction-PT-002,12,
czero, BestFS, CTLFireabilitySimple, HouseConstruction-PT-002,14,
czero, BestFS, CTLCardinality, HouseConstruction-PT-005,5,
czero, BestFS, CTLFireability, HouseConstruction-PT-005,2,
czero, BestFS, CTLFireabilitySimple, HouseConstruction-PT-005,8,
czero, BestFS, CTLCardinality, HouseConstruction-PT-010,2,
czero, BestFS, CTLFireability, HouseConstruction-PT-010, ,
czero, BestFS, CTLFireabilitySimple, HouseConstruction-PT-010, ,
czero, BestFS, CTLCardinality, IBMB2S565S3960-PT-none,3,
czero, BestFS, CTLFireability, IBMB2S565S3960-PT-none,2,
czero, BestFS, CTLFireabilitySimple, IBMB2S565S3960-PT-none,7,
czero, BestFS, CTLCardinality, Kanban-PT-0005,1,
czero, BestFS, CTLFireability, Kanban-PT-0005,2,
czero, BestFS, CTLFireabilitySimple, Kanban-PT-0005,8,
czero, BestFS, CTLCardinality, Kanban-PT-0010, ,
czero, BestFS, CTLFireability, Kanban-PT-0010,5,
czero, BestFS, CTLFireabilitySimple, Kanban-PT-0010,6,
czero, BestFS, CTLCardinality, Kanban-PT-0020, ,
czero, BestFS, CTLFireability, Kanban-PT-0020,7,
czero, BestFS, CTLFireabilitySimple, Kanban-PT-0020,5,
czero, BestFS, CTLCardinality, LamportFastMutEx-PT-2,10,
czero, BestFS, CTLFireability, LamportFastMutEx-PT-2,12,
czero, BestFS, CTLFireabilitySimple, LamportFastMutEx-PT-2,12,
czero, BestFS, CTLCardinality, LamportFastMutEx-PT-3,13,
czero, BestFS, CTLFireability, LamportFastMutEx-PT-3,13,
czero, BestFS, CTLFireabilitySimple, LamportFastMutEx-PT-3,14,
czero, BestFS, CTLCardinality, LamportFastMutEx-PT-4,3,
czero, BestFS, CTLFireability, LamportFastMutEx-PT-4,4,
czero, BestFS, CTLFireabilitySimple, LamportFastMutEx-PT-4,9,
czero, BestFS, CTLCardinality, MAPK-PT-008,1,
czero, BestFS, CTLFireability, MAPK-PT-008,8,
czero, BestFS, CTLFireabilitySimple, MAPK-PT-008,9,
czero, BestFS, CTLCardinality, MAPK-PT-020, ,
czero, BestFS, CTLFireability, MAPK-PT-020,2,
czero, BestFS, CTLFireabilitySimple, MAPK-PT-020,10,
czero, BestFS, CTLCardinality, MAPK-PT-040, ,
czero, BestFS, CTLFireability, MAPK-PT-040,1,
czero, BestFS, CTLFireabilitySimple, MAPK-PT-040,8,
czero, BestFS, CTLCardinality, MAPK-PT-080, ,
czero, BestFS, CTLFireability, MAPK-PT-080,4,
czero, BestFS, CTLFireabilitySimple, MAPK-PT-080,7,
czero, BestFS, CTLCardinality, MAPK-PT-160, ,
czero, BestFS, CTLFireability, MAPK-PT-160,3,
czero, BestFS, CTLFireabilitySimple, MAPK-PT-160,4,
czero, BestFS, CTLCardinality, MAPK-PT-320, ,
czero, BestFS, CTLFireability, MAPK-PT-320,3,
czero, BestFS, CTLFireabilitySimple, MAPK-PT-320,4,
czero, BestFS, CTLCardinality, MultiwaySync-PT-none, ,
czero, BestFS, CTLFireability, MultiwaySync-PT-none, ,
czero, BestFS, CTLFireabilitySimple, MultiwaySync-PT-none, ,
czero, BestFS, CTLCardinality, PermAdmissibility-PT-01,10,
czero, BestFS, CTLFireability, PermAdmissibility-PT-01,7,
czero, BestFS, CTLFireabilitySimple, PermAdmissibility-PT-01,9,
czero, BestFS, CTLCardinality, PermAdmissibility-PT-02,1,
czero, BestFS, CTLFireability, PermAdmissibility-PT-02, ,
czero, BestFS, CTLFireabilitySimple, PermAdmissibility-PT-02, ,
czero, BestFS, CTLCardinality, PermAdmissibility-PT-05,1,
czero, BestFS, CTLFireability, PermAdmissibility-PT-05, ,
czero, BestFS, CTLFireabilitySimple, PermAdmissibility-PT-05, ,
czero, BestFS, CTLCardinality, Peterson-PT-2,14,
czero, BestFS, CTLFireability, Peterson-PT-2,15,
czero, BestFS, CTLFireabilitySimple, Peterson-PT-2,13,
czero, BestFS, CTLCardinality, Peterson-PT-3,1,
czero, BestFS, CTLFireability, Peterson-PT-3, ,
czero, BestFS, CTLFireabilitySimple, Peterson-PT-3,4,
czero, BestFS, CTLCardinality, Peterson-PT-4,2,
czero, BestFS, CTLFireability, Peterson-PT-4, ,
czero, BestFS, CTLFireabilitySimple, Peterson-PT-4, ,
czero, BestFS, CTLCardinality, PhilosophersDyn-PT-03,11,
czero, BestFS, CTLFireability, PhilosophersDyn-PT-03,10,
czero, BestFS, CTLFireabilitySimple, PhilosophersDyn-PT-03,2,
czero, BestFS, CTLCardinality, PhilosophersDyn-PT-10,4,
czero, BestFS, CTLFireability, PhilosophersDyn-PT-10,2,
czero, BestFS, CTLFireabilitySimple, PhilosophersDyn-PT-10,10,
czero, BestFS, CTLCardinality, PhilosophersDyn-PT-20,3,
czero, BestFS, CTLFireability, PhilosophersDyn-PT-20, ,
czero, BestFS, CTLFireabilitySimple, PhilosophersDyn-PT-20,10,
czero, BestFS, CTLCardinality, Planning-PT-none, ,
czero, BestFS, CTLFireability, Planning-PT-none, ,
czero, BestFS, CTLFireabilitySimple, Planning-PT-none, ,
czero, BestFS, CTLCardinality, ProductionCell-PT-none, ,
czero, BestFS, CTLFireability, ProductionCell-PT-none, ,
czero, BestFS, CTLFireabilitySimple, ProductionCell-PT-none, ,
czero, BestFS, CTLCardinality, Railroad-PT-005,14,
czero, BestFS, CTLFireability, Railroad-PT-005,14,
czero, BestFS, CTLFireabilitySimple, Railroad-PT-005,14,
czero, BestFS, CTLCardinality, Railroad-PT-010,4,
czero, BestFS, CTLFireability, Railroad-PT-010,2,
czero, BestFS, CTLFireabilitySimple, Railroad-PT-010,6,
czero, BestFS, CTLCardinality, Railroad-PT-020,2,
czero, BestFS, CTLFireability, Railroad-PT-020,2,
czero, BestFS, CTLFireabilitySimple, Railroad-PT-020,5,
czero, BestFS, CTLCardinality, ResAllocation-PT-R002C002,2,
czero, BestFS, CTLFireability, ResAllocation-PT-R002C002,6,
czero, BestFS, CTLFireabilitySimple, ResAllocation-PT-R002C002,3,
czero, BestFS, CTLCardinality, ResAllocation-PT-R003C002,11,
czero, BestFS, CTLFireability, ResAllocation-PT-R003C002,14,
czero, BestFS, CTLFireabilitySimple, ResAllocation-PT-R003C002,12,
czero, BestFS, CTLCardinality, ResAllocation-PT-R003C003,14,
czero, BestFS, CTLFireability, ResAllocation-PT-R003C003,12,
czero, BestFS, CTLFireabilitySimple, ResAllocation-PT-R003C003,13,
czero, BestFS, CTLCardinality, Ring-PT-none, ,
czero, BestFS, CTLFireability, Ring-PT-none, ,
czero, BestFS, CTLFireabilitySimple, Ring-PT-none, ,
czero, BestFS, CTLCardinality, RwMutex-PT-r0010w0010,14,
czero, BestFS, CTLFireability, RwMutex-PT-r0010w0010,2,
czero, BestFS, CTLFireabilitySimple, RwMutex-PT-r0010w0010,14,
czero, BestFS, CTLCardinality, RwMutex-PT-r0010w0020,12,
czero, BestFS, CTLFireability, RwMutex-PT-r0010w0020,12,
czero, BestFS, CTLFireabilitySimple, RwMutex-PT-r0010w0020,11,
czero, BestFS, CTLCardinality, RwMutex-PT-r0010w0050,14,
czero, BestFS, CTLFireability, RwMutex-PT-r0010w0050,10,
czero, BestFS, CTLFireabilitySimple, RwMutex-PT-r0010w0050,12,
czero, BestFS, CTLCardinality, SharedMemory-PT-000005,11,
czero, BestFS, CTLFireability, SharedMemory-PT-000005,12,
czero, BestFS, CTLFireabilitySimple, SharedMemory-PT-000005,14,
czero, BestFS, CTLCardinality, SharedMemory-PT-000010, ,
czero, BestFS, CTLFireability, SharedMemory-PT-000010, ,
czero, BestFS, CTLFireabilitySimple, SharedMemory-PT-000010, ,
czero, BestFS, CTLCardinality, SharedMemory-PT-000020, ,
czero, BestFS, CTLFireability, SharedMemory-PT-000020, ,
czero, BestFS, CTLFireabilitySimple, SharedMemory-PT-000020, ,
czero, BestFS, CTLCardinality, SimpleLoadBal-PT-02,16,
czero, BestFS, CTLFireability, SimpleLoadBal-PT-02,16,
czero, BestFS, CTLFireabilitySimple, SimpleLoadBal-PT-02,16,
czero, BestFS, CTLCardinality, SimpleLoadBal-PT-05,7,
czero, BestFS, CTLFireability, SimpleLoadBal-PT-05,8,
czero, BestFS, CTLFireabilitySimple, SimpleLoadBal-PT-05,11,
czero, BestFS, CTLCardinality, SimpleLoadBal-PT-10, ,
czero, BestFS, CTLFireability, SimpleLoadBal-PT-10, ,
czero, BestFS, CTLFireabilitySimple, SimpleLoadBal-PT-10, ,
czero, BestFS, CTLCardinality, TokenRing-PT-005,12,
czero, BestFS, CTLFireability, TokenRing-PT-005,14,
czero, BestFS, CTLFireabilitySimple, TokenRing-PT-005,13,
czero, BestFS, CTLCardinality, TokenRing-PT-010,10,
czero, BestFS, CTLFireability, TokenRing-PT-010, ,
czero, BestFS, CTLFireabilitySimple, TokenRing-PT-010,3,
czero, BestFS, CTLCardinality, TokenRing-PT-015,1,
czero, BestFS, CTLFireability, TokenRing-PT-015, ,
czero, BestFS, CTLFireabilitySimple, TokenRing-PT-015, ,
czero, BestFS, CTLCardinality, UtahNoC-PT-none, ,
czero, BestFS, CTLFireability, UtahNoC-PT-none, ,
czero, BestFS, CTLFireabilitySimple, UtahNoC-PT-none, ,
czero, BestFS, CTLCardinality, Vasy2003-PT-none, ,
czero, BestFS, CTLFireability, Vasy2003-PT-none, ,
czero, BestFS, CTLFireabilitySimple, Vasy2003-PT-none, ,1317
czero, DFS, CTLCardinality, Angiogenesis-PT-01,11,
czero, DFS, CTLFireability, Angiogenesis-PT-01,13,
czero, DFS, CTLFireabilitySimple, Angiogenesis-PT-01,13,
czero, DFS, CTLCardinality, Angiogenesis-PT-05,9,
czero, DFS, CTLFireability, Angiogenesis-PT-05,8,
czero, DFS, CTLFireabilitySimple, Angiogenesis-PT-05,13,
czero, DFS, CTLCardinality, Angiogenesis-PT-10,3,
czero, DFS, CTLFireability, Angiogenesis-PT-10,3,
czero, DFS, CTLFireabilitySimple, Angiogenesis-PT-10,14,
czero, DFS, CTLCardinality, ARMCacheCoherence-PT-none,1,
czero, DFS, CTLFireability, ARMCacheCoherence-PT-none, ,
czero, DFS, CTLFireabilitySimple, ARMCacheCoherence-PT-none,3,
czero, DFS, CTLCardinality, CircadianClock-PT-000001,14,
czero, DFS, CTLFireability, CircadianClock-PT-000001,15,
czero, DFS, CTLFireabilitySimple, CircadianClock-PT-000001,15,
czero, DFS, CTLCardinality, CircadianClock-PT-000010,4,
czero, DFS, CTLFireability, CircadianClock-PT-000010,10,
czero, DFS, CTLFireabilitySimple, CircadianClock-PT-000010,10,
czero, DFS, CTLCardinality, CircadianClock-PT-000100,1,
czero, DFS, CTLFireability, CircadianClock-PT-000100,7,
czero, DFS, CTLFireabilitySimple, CircadianClock-PT-000100,8,
czero, DFS, CTLCardinality, CircularTrains-PT-012,12,
czero, DFS, CTLFireability, CircularTrains-PT-012,15,
czero, DFS, CTLFireabilitySimple, CircularTrains-PT-012,13,
czero, DFS, CTLCardinality, CircularTrains-PT-024,11,
czero, DFS, CTLFireability, CircularTrains-PT-024,11,
czero, DFS, CTLFireabilitySimple, CircularTrains-PT-024,16,
czero, DFS, CTLCardinality, CircularTrains-PT-048,5,
czero, DFS, CTLFireability, CircularTrains-PT-048, ,
czero, DFS, CTLFireabilitySimple, CircularTrains-PT-048,5,
czero, DFS, CTLCardinality, CSRepetitions-PT-02,11,
czero, DFS, CTLFireability, CSRepetitions-PT-02,12,
czero, DFS, CTLFireabilitySimple, CSRepetitions-PT-02,12,
czero, DFS, CTLCardinality, CSRepetitions-PT-03,5,
czero, DFS, CTLFireability, CSRepetitions-PT-03,4,
czero, DFS, CTLFireabilitySimple, CSRepetitions-PT-03,9,
czero, DFS, CTLCardinality, CSRepetitions-PT-04,5,
czero, DFS, CTLFireability, CSRepetitions-PT-04,4,
czero, DFS, CTLFireabilitySimple, CSRepetitions-PT-04,7,
czero, DFS, CTLCardinality, DatabaseWithMutex-PT-02,12,
czero, DFS, CTLFireability, DatabaseWithMutex-PT-02,11,
czero, DFS, CTLFireabilitySimple, DatabaseWithMutex-PT-02,14,
czero, DFS, CTLCardinality, DatabaseWithMutex-PT-04,2,
czero, DFS, CTLFireability, DatabaseWithMutex-PT-04, ,
czero, DFS, CTLFireabilitySimple, DatabaseWithMutex-PT-04,4,
czero, DFS, CTLCardinality, DatabaseWithMutex-PT-10,2,
czero, DFS, CTLFireability, DatabaseWithMutex-PT-10,2,
czero, DFS, CTLFireabilitySimple, DatabaseWithMutex-PT-10, ,
czero, DFS, CTLCardinality, Dekker-PT-010,9,
czero, DFS, CTLFireability, Dekker-PT-010,12,
czero, DFS, CTLFireabilitySimple, Dekker-PT-010,1,
czero, DFS, CTLCardinality, Dekker-PT-015,1,
czero, DFS, CTLFireability, Dekker-PT-015,5,
czero, DFS, CTLFireabilitySimple, Dekker-PT-015,14,
czero, DFS, CTLCardinality, Dekker-PT-020,1,
czero, DFS, CTLFireability, Dekker-PT-020, ,
czero, DFS, CTLFireabilitySimple, Dekker-PT-020,11,
czero, DFS, CTLCardinality, DrinkVendingMachine-PT-02,12,
czero, DFS, CTLFireability, DrinkVendingMachine-PT-02,12,
czero, DFS, CTLFireabilitySimple, DrinkVendingMachine-PT-02,15,
czero, DFS, CTLCardinality, EnergyBus-PT-none, ,
czero, DFS, CTLFireability, EnergyBus-PT-none, ,
czero, DFS, CTLFireabilitySimple, EnergyBus-PT-none, ,
czero, DFS, CTLCardinality, Eratosthenes-PT-010,14,
czero, DFS, CTLFireability, Eratosthenes-PT-010,14,
czero, DFS, CTLFireabilitySimple, Eratosthenes-PT-010,15,
czero, DFS, CTLCardinality, Eratosthenes-PT-020,11,
czero, DFS, CTLFireability, Eratosthenes-PT-020,13,
czero, DFS, CTLFireabilitySimple, Eratosthenes-PT-020,11,
czero, DFS, CTLCardinality, Eratosthenes-PT-050,3,
czero, DFS, CTLFireability, Eratosthenes-PT-050,4,
czero, DFS, CTLFireabilitySimple, Eratosthenes-PT-050, ,
czero, DFS, CTLCardinality, ERK-PT-000001,15,
czero, DFS, CTLFireability, ERK-PT-000001,14,
czero, DFS, CTLFireabilitySimple, ERK-PT-000001,13,
czero, DFS, CTLCardinality, ERK-PT-000010,13,
czero, DFS, CTLFireability, ERK-PT-000010,14,
czero, DFS, CTLFireabilitySimple, ERK-PT-000010,15,
czero, DFS, CTLCardinality, ERK-PT-000100,3,
czero, DFS, CTLFireability, ERK-PT-000100,4,
czero, DFS, CTLFireabilitySimple, ERK-PT-000100,8,
czero, DFS, CTLCardinality, FMS-PT-005,3,
czero, DFS, CTLFireability, FMS-PT-005,6,
czero, DFS, CTLFireabilitySimple, FMS-PT-005,14,
czero, DFS, CTLCardinality, FMS-PT-010,7,
czero, DFS, CTLFireability, FMS-PT-010,7,
