Algorithm, Search strategy, query, time(ms, #configurations, #markings
global, BDFS, CircadianClock-PT-000001-CTLFireability-2 F, 0.058, 3, 2
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-10 F, 2.128, 385, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-5 T, 1.653, 256, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-11 T, 2.105, 384, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-8 F, 1.484, 256, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-13 T, 1.585, 256, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-15 F, 1.332, 256, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-9 F, 2.003, 385, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-2 T, 1.682, 384, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-14 F, 1.927, 256, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-6 F, 1.564, 385, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-4 F, 1.604, 384, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-12 T, 1.266, 256, 128
global, BDFS, CircadianClock-PT-000001-CTLFireabilitySimple-7 T, 0.069, 3, 2
global, BDFS, CircadianClock-PT-000010-CTLCardinality-15 F, 67782, 5153637, 644204
global, BDFS, CircadianClock-PT-000010-CTLCardinality-5 F, 54692.6, 3865243, 644204
global, BDFS, CircadianClock-PT-000010-CTLCardinality-9 T, 54650.1, 5153633, 644204
global, BDFS, CircadianClock-PT-000010-CTLCardinality-13 F, 50993.2, 1932627, 644204
global, BDFS, CircadianClock-PT-000010-CTLCardinality-3 T, 46923.3, 5797851, 644204
global, BDFS, CircadianClock-PT-000010-CTLCardinality-4 T, 43985.6, 5797836, 644204
global, BDFS, CircadianClock-PT-000010-CTLCardinality-12 T, 40910.3, 2576819, 644204
global, BDFS, CircadianClock-PT-000010-CTLCardinality-7 F, 28735.1, 5153632, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireability-13 F, 70272.4, 6442053, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireability-10 T, 56937.2, 7086244, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireability-14 F, 52837.9, 3221028, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireability-7 F, 39450.9, 2576818, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireability-12 F, 33002.5, 1932615, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireability-6 F, 19708.5, 1288409, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireability-11 F, 0.026, 1, 0
global, BDFS, CircadianClock-PT-000010-CTLFireability-9 T, 0.054, 2, 0
global, BDFS, CircadianClock-PT-000010-CTLFireability-15 T, 0.029, 3, 2
global, BDFS, CircadianClock-PT-000010-CTLFireability-8 F, 0.052, 1, 0
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-6 F, 28557.5, 1932613, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-9 F, 27151.1, 1932613, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-7 F, 26621.8, 1932613, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-2 F, 26233.7, 1932613, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-5 T, 20102.7, 1288408, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-3 F, 19475.9, 1932612, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-8 F, 18955.5, 1932612, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-10 F, 18879.8, 1932612, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-1 T, 18147.4, 1288408, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-14 F, 17169.4, 1288408, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-11 T, 17126.4, 1288408, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-4 T, 15727.5, 1288408, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-15 F, 14792.1, 1288408, 644204
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-12 F, 0.054, 3, 2
global, BDFS, CircadianClock-PT-000010-CTLFireabilitySimple-0 F, 0.083, 3, 2
global, BDFS, CircadianClock-PT-000100-CTLFireability-10 F, 0.031, 1, 0
global, BDFS, CircadianClock-PT-000100-CTLFireability-15 F, 0.102, 11, 8
global, BDFS, CircadianClock-PT-000100-CTLFireability-8 T, 0.061, 2, 0
global, BDFS, CircadianClock-PT-000100-CTLFireability-11 T, 0.029, 2, 0
global, BDFS, CircadianClock-PT-000100-CTLFireabilitySimple-14 F, 0.095, 3, 2
global, BDFS, CircadianClock-PT-000100-CTLFireabilitySimple-12 T, 0.091, 3, 2
global, BDFS, CircadianClock-PT-000100-CTLFireabilitySimple-11 F, 0.078, 3, 2
global, BDFS, CircadianClock-PT-000100-CTLFireabilitySimple-4 F, 0.07, 3, 2
global, BDFS, CircularTrains-PT-012-CTLCardinality-7 F, 70.475, 1561, 195
global, BDFS, CircularTrains-PT-012-CTLCardinality-14 F, 1.903, 588, 195
global, BDFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.1, 2, 0
global, BDFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.117, 29, 4
global, BDFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.142, 39, 14
global, BDFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.063, 1, 0
global, BDFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.094, 5, 4
global, BDFS, CircularTrains-PT-012-CTLCardinality-10 T, 5.147, 1, 0
global, BDFS, CircularTrains-PT-012-CTLCardinality-5 T, 0.027, 591, 195
global, BDFS, CircularTrains-PT-012-CTLCardinality-9 F, 0.023, 786, 195
global, BDFS, CircularTrains-PT-012-CTLCardinality-11 F, 2.482, 1, 0
global, BDFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.071, 11, 4
global, BDFS, CircularTrains-PT-012-CTLFireability-0 T, 95.021, 1758, 195
global, BDFS, CircularTrains-PT-012-CTLFireability-15 T, 1.782, 390, 195
global, BDFS, CircularTrains-PT-012-CTLFireability-13 F, 0.134, 14, 0
global, BDFS, CircularTrains-PT-012-CTLFireability-12 T, 13.813, 3515, 195
global, BDFS, CircularTrains-PT-012-CTLFireability-10 F, 0.054, 4, 0
global, BDFS, CircularTrains-PT-012-CTLFireability-5 T, 0.118, 17, 4
global, BDFS, CircularTrains-PT-012-CTLFireability-14 T, 0.099, 2, 0
global, BDFS, CircularTrains-PT-012-CTLFireability-6 F, 0.079, 1, 0
global, BDFS, CircularTrains-PT-012-CTLFireability-11 F, 4.394, 594, 195
global, BDFS, CircularTrains-PT-012-CTLFireability-3 T, 0.063, 5, 4
global, BDFS, CircularTrains-PT-012-CTLFireability-4 F, 0.088, 1, 0
global, BDFS, CircularTrains-PT-012-CTLFireability-1 T, 0.068, 5, 4
global, BDFS, CircularTrains-PT-012-CTLFireability-8 F, 0.095, 1, 0
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-10 F, 2.346, 586, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-8 F, 2.665, 586, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-7 T, 1.745, 390, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-13 T, 1.825, 390, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-4 F, 2.076, 585, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-14 T, 2.194, 585, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-6 F, 2.603, 586, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-15 F, 0.125, 5, 4
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-11 F, 0.031, 5, 4
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-9 T, 2.009, 390, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-12 T, 0.076, 5, 4
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-3 F, 2.589, 585, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-5 F, 2.565, 586, 195
global, BDFS, CircularTrains-PT-012-CTLFireabilitySimple-1 F, 2.458, 585, 195
global, BDFS, CircularTrains-PT-024-CTLCardinality-9 T, 8321.81, 865151, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-12 T, 7859.27, 692139, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-4 T, 6343.37, 865152, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-10 F, 5751.49, 432576, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-8 T, 5191.88, 346064, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-5 T, 4559.31, 432585, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-15 F, 4357.01, 1038180, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-13 F, 3893.17, 432575, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-7 T, 3544.04, 346060, 86515
global, BDFS, CircularTrains-PT-024-CTLCardinality-14 F, 1707.79, 173030, 86515
global, BDFS, CircularTrains-PT-024-CTLFireability-2 F, 23423.1, 432592, 86515
global, BDFS, CircularTrains-PT-024-CTLFireability-10 T, 15909.1, 1038182, 86515
global, BDFS, CircularTrains-PT-024-CTLFireability-13 F, 13778.9, 519099, 86515
global, BDFS, CircularTrains-PT-024-CTLFireability-6 F, 12921.9, 1557270, 86515
global, BDFS, CircularTrains-PT-024-CTLFireability-15 F, 8324.93, 692121, 86515
global, BDFS, CircularTrains-PT-024-CTLFireability-4 F, 4416.96, 259548, 86515
global, BDFS, CircularTrains-PT-024-CTLFireability-7 T, 3836.41, 259546, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-5 F, 3553.37, 259546, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-15 F, 3411.5, 259546, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-10 F, 3416.64, 259545, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-2 F, 3357.7, 259546, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-4 F, 3220.89, 259546, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-14 F, 3153.19, 259546, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-13 F, 3062.2, 259546, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-9 T, 2658.3, 173030, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-12 T, 2414.21, 173030, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-6 T, 2306.62, 173030, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-8 T, 2310.59, 173030, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-11 T, 2243.42, 173030, 86515
global, BDFS, CircularTrains-PT-024-CTLFireabilitySimple-7 T, 2222.93, 173030, 86515
global, BDFS, CSRepetitions-COL-02-CTLCardinality-5 F, 296372, 29697, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-3 T, 265003, 29697, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-10 T, 262938, 66812, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-9 F, 245390, 81665, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-8 F, 237951, 44545, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-7 T, 206543, 59392, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-11 F, 531.823, 44545, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-1 T, 389.792, 51969, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-2 F, 377.945, 44544, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-14 F, 319.961, 51968, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-13 F, 279.601, 81664, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-4 T, 287.869, 37138, 7424
global, BDFS, CSRepetitions-COL-02-CTLCardinality-15 T, 219.395, 29696, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireability-7 F, 253754, 66817, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireability-6 F, 252898, 37121, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireability-9 F, 204564, 89088, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireability-11 T, 1041.02, 133652, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireability-12 F, 123.66, 14848, 7424
global, BDFS, CSRepetitions-COL-02-CTLFireability-15 T, 0.055, 2, 0
global, BDFS, CSRepetitions-COL-02-CTLFireability-14 T, 0.056, 2, 0
global, BDFS, CSRepetitions-COL-02-CTLFireabilitySimple-14 F, 183.528, 22273, 7424
