Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-9 F, 1.691, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-10 F, 1.668, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-13 T, 1.436, 256, 128
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-14 F, 0.077, 12, 6
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-12 T, 0.259, 57, 36
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-6 F, 0.123, 22, 11
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-11 T, 0.038, 9, 5
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-15 F, 0.112, 9, 6
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-8 F, 0.088, 9, 6
local, BestFS, CircadianClock-PT-000001-CTLFireabilitySimple-7 T, 0.062, 3, 2
local, BestFS, CircadianClock-PT-000010-CTLFireability-11 F, 0.119, 1, 0
local, BestFS, CircadianClock-PT-000010-CTLFireability-15 T, 0.073, 2, 0
local, BestFS, CircadianClock-PT-000010-CTLFireability-8 F, 0.028, 3, 2
local, BestFS, CircadianClock-PT-000010-CTLFireability-9 T, 0.023, 1, 0
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-6 F, 44.596, 12475, 7392
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-15 F, 0.157, 11, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-10 F, 0.089, 14, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-3 F, 0.096, 14, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-12 F, 0.076, 3, 2
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-13 F, 0.07, 14, 8
local, BestFS, CircadianClock-PT-000010-CTLFireabilitySimple-14 F, 0.053, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireability-7 T, 175468, 372129, 70305
local, BestFS, CircadianClock-PT-000100-CTLFireability-9 T, 0.121, 21, 12
local, BestFS, CircadianClock-PT-000100-CTLFireability-15 F, 0.091, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireability-12 F, 0.185, 39, 12
local, BestFS, CircadianClock-PT-000100-CTLFireability-8 T, 0.021, 2, 0
local, BestFS, CircadianClock-PT-000100-CTLFireability-10 F, 0.056, 1, 0
local, BestFS, CircadianClock-PT-000100-CTLFireability-11 T, 0.074, 2, 0
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-9 F, 0.076, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-12 T, 0.114, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-4 F, 0.07, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-15 T, 0.079, 10, 6
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-14 F, 0.025, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-13 F, 0.067, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-11 F, 0.024, 3, 2
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-5 F, 0.094, 14, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-7 F, 0.062, 11, 8
local, BestFS, CircadianClock-PT-000100-CTLFireabilitySimple-8 F, 0.071, 15, 9
local, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 1.772, 591, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.097, 2, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 1.442, 586, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 5.585, 1561, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.094, 29, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.087, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.168, 39, 14
local, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.017, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.08, 5, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.076, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.075, 11, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 1.905, 1123, 177
local, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 1.871, 786, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.027, 1, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-5 T, 8.182, 3449, 195
local, BestFS, CircularTrains-PT-012-CTLFireability-10 F, 0.162, 14, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-15 T, 1.776, 390, 195
local, BestFS, CircularTrains-PT-012-CTLFireability-9 T, 3.546, 1361, 195
local, BestFS, CircularTrains-PT-012-CTLFireability-8 F, 0.073, 1, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-12 T, 0.122, 17, 4
local, BestFS, CircularTrains-PT-012-CTLFireability-11 F, 0.076, 1, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-7 T, 0.064, 3, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-14 T, 0.062, 2, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-13 F, 0.092, 4, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-6 F, 0.063, 1, 0
local, BestFS, CircularTrains-PT-012-CTLFireability-2 F, 2.061, 588, 195
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-15 F, 1.847, 572, 193
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-10 F, 1.841, 586, 195
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-12 T, 0.034, 5, 4
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-13 T, 1.076, 420, 168
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-8 F, 1.773, 586, 195
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-9 T, 1.67, 390, 195
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-6 F, 0.498, 214, 98
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-11 F, 0.081, 5, 4
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-7 T, 0.63, 222, 100
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-2 F, 1.538, 390, 195
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-5 F, 1.502, 568, 193
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-4 F, 0.028, 5, 4
local, BestFS, CircularTrains-PT-012-CTLFireabilitySimple-14 T, 1.469, 377, 191
local, BestFS, CircularTrains-PT-024-CTLCardinality-13 F, 290067, 353211, 86515
local, BestFS, CircularTrains-PT-024-CTLCardinality-2 T, 283557, 432576, 86515
local, BestFS, CircularTrains-PT-024-CTLCardinality-15 F, 179694, 895527, 86186
local, BestFS, CircularTrains-PT-024-CTLCardinality-5 T, 6831.22, 363034, 86312
local, BestFS, CircularTrains-PT-024-CTLCardinality-10 F, 6463.86, 432570, 86515
local, BestFS, CircularTrains-PT-024-CTLCardinality-12 T, 4271.73, 281771, 86515
local, BestFS, CircularTrains-PT-024-CTLCardinality-0 F, 3518.96, 368451, 66711
local, BestFS, CircularTrains-PT-024-CTLCardinality-8 T, 423.178, 75521, 24367
local, BestFS, CircularTrains-PT-024-CTLCardinality-3 T, 425.127, 119685, 40656
local, BestFS, CircularTrains-PT-024-CTLCardinality-9 T, 119.107, 32332, 5781
local, BestFS, CircularTrains-PT-024-CTLCardinality-14 F, 59.167, 10338, 7150
local, BestFS, CircularTrains-PT-024-CTLFireability-1 F, 12955, 765796, 86515
local, BestFS, CircularTrains-PT-024-CTLFireability-8 T, 8011.09, 605593, 86515
local, BestFS, CircularTrains-PT-024-CTLFireability-2 F, 5964.34, 410284, 86191
local, BestFS, CircularTrains-PT-024-CTLFireability-10 T, 5911.99, 1038160, 86515
local, BestFS, CircularTrains-PT-024-CTLFireability-3 T, 2239.69, 173030, 86515
local, BestFS, CircularTrains-PT-024-CTLFireability-0 T, 659.989, 141199, 30454
local, BestFS, CircularTrains-PT-024-CTLFireability-6 F, 182.449, 39229, 7150
local, BestFS, CircularTrains-PT-024-CTLFireabilitySimple-10 F, 47091.7, 206591, 77323
