Algorithm, Search strategy, Query, Modelname, #Results)
global, BBFS, CTLCardinality, DatabaseWithMutex-PT-02, 14
global, BDFS, CTLCardinality, DatabaseWithMutex-PT-02, 13
global, BestFS, CTLCardinality, DatabaseWithMutex-PT-02, 12
global, BFS, CTLCardinality, DatabaseWithMutex-PT-02, 14
global, DFS, CTLCardinality, DatabaseWithMutex-PT-02, 13
local, BBFS, CTLCardinality, DatabaseWithMutex-PT-02, 14
local, BDFS, CTLCardinality, DatabaseWithMutex-PT-02, 14
local, BestFS, CTLCardinality, DatabaseWithMutex-PT-02, 13
local, BFS, CTLCardinality, DatabaseWithMutex-PT-02, 13
local, DFS, CTLCardinality, DatabaseWithMutex-PT-02, 13
czero, BBFS, CTLCardinality, Dekker-PT-010, 13
czero, BDFS, CTLCardinality, Dekker-PT-010, 4
czero, BestFS, CTLCardinality, Dekker-PT-010, 3
czero, BFS, CTLCardinality, Dekker-PT-010, 7
czero, CDFS, CTLCardinality, Dekker-PT-010, 14
czero, DFS, CTLCardinality, Dekker-PT-010, 1
global, BBFS, CTLCardinality, Dekker-PT-010, 9
global, BDFS, CTLCardinality, Dekker-PT-010, 4
global, BestFS, CTLCardinality, Dekker-PT-010, 
global, BFS, CTLCardinality, Dekker-PT-010, 1
global, DFS, CTLCardinality, Dekker-PT-010, 3
local, BBFS, CTLCardinality, Dekker-PT-010, 1
local, BDFS, CTLCardinality, Dekker-PT-010, 3
local, BestFS, CTLCardinality, Dekker-PT-010, 1
local, BFS, CTLCardinality, Dekker-PT-010, 7
local, DFS, CTLCardinality, Dekker-PT-010, 4
czero, BBFS, CTLCardinality, DrinkVendingMachine-PT-02, 13
czero, BDFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
czero, BestFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
czero, BFS, CTLCardinality, DrinkVendingMachine-PT-02, 15
czero, CDFS, CTLCardinality, DrinkVendingMachine-PT-02, 13
czero, DFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
global, BBFS, CTLCardinality, DrinkVendingMachine-PT-02, 13
global, BDFS, CTLCardinality, DrinkVendingMachine-PT-02, 13
global, BestFS, CTLCardinality, DrinkVendingMachine-PT-02, 15
global, BFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
global, DFS, CTLCardinality, DrinkVendingMachine-PT-02, 15
local, BBFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
local, BDFS, CTLCardinality, DrinkVendingMachine-PT-02, 15
local, BestFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
local, BFS, CTLCardinality, DrinkVendingMachine-PT-02, 14
local, DFS, CTLCardinality, DrinkVendingMachine-PT-02, 11
czero, BBFS, CTLCardinality, ERK-PT-000001, 14
czero, BDFS, CTLCardinality, ERK-PT-000001, 12
czero, BestFS, CTLCardinality, ERK-PT-000001, 13
czero, BFS, CTLCardinality, ERK-PT-000001, 14
czero, CDFS, CTLCardinality, ERK-PT-000001, 11
czero, DFS, CTLCardinality, ERK-PT-000001, 15
global, BBFS, CTLCardinality, ERK-PT-000001, 12
global, BDFS, CTLCardinality, ERK-PT-000001, 14
global, BestFS, CTLCardinality, ERK-PT-000001, 12
global, BFS, CTLCardinality, ERK-PT-000001, 15
global, DFS, CTLCardinality, ERK-PT-000001, 13
local, BBFS, CTLCardinality, ERK-PT-000001, 14
local, BDFS, CTLCardinality, ERK-PT-000001, 15
local, BestFS, CTLCardinality, ERK-PT-000001, 14
local, BFS, CTLCardinality, ERK-PT-000001, 15
local, DFS, CTLCardinality, ERK-PT-000001, 12
czero, BBFS, CTLCardinality, ERK-PT-000010, 11
czero, BDFS, CTLCardinality, ERK-PT-000010, 9
czero, BestFS, CTLCardinality, ERK-PT-000010, 13
czero, BFS, CTLCardinality, ERK-PT-000010, 14
