Algorithm, Search strategy, query, time(ms, #configurations, #markings
global, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 9.88, 641, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 2.327, 256, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 8.291, 1152, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 3.794, 523, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 0.161, 19, 2
global, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 7.948, 1280, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.047, 1, 0
global, BestFS, CircadianClock-PT-000001-CTLCardinality-5 F, 8.182, 515, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-0 T, 5.498, 386, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 1.392, 273, 128
global, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.077, 16, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-2 F, 3.312, 864, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-6 T, 1.805, 385, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-10 T, 1.341, 260, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-4 F, 0.239, 26, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-0 T, 2.078, 386, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-12 T, 0.67, 187, 96
local, BestFS, CircadianClock-PT-000001-CTLCardinality-15 T, 0.13, 25, 6
local, BestFS, CircadianClock-PT-000001-CTLCardinality-3 F, 1.063, 373, 124
local, BestFS, CircadianClock-PT-000001-CTLCardinality-7 F, 0.049, 19, 2
local, BestFS, CircadianClock-PT-000001-CTLCardinality-13 F, 0.021, 1, 0
local, BestFS, CircadianClock-PT-000001-CTLCardinality-8 F, 1.643, 256, 128
local, BestFS, CircadianClock-PT-000001-CTLCardinality-11 T, 0.082, 21, 5
local, BestFS, CircadianClock-PT-000001-CTLCardinality-14 T, 0.176, 84, 12
local, BestFS, CircadianClock-PT-000001-CTLCardinality-1 F, 0.094, 33, 11
local, BestFS, CircadianClock-PT-000001-CTLCardinality-9 T, 0.062, 16, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 2.002, 786, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 5.785, 1561, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 0.116, 591, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.102, 39, 14
czero, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 1.901, 29, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.019, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.062, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.045, 2, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 1.925, 586, 195
czero, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.071, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.066, 11, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.057, 1, 0
czero, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.065, 5, 4
czero, BestFS, CircularTrains-PT-012-CTLCardinality-1 F, 0.221, 80, 41
global, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 378.886, 1561, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-5 T, 19.915, 591, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 7.592, 786, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 5.282, 588, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.064, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 13.391, 1755, 195
global, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.034, 2, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.22, 39, 14
global, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.06, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.026, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.102, 5, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.041, 1, 0
global, BestFS, CircularTrains-PT-012-CTLCardinality-6 T, 0.138, 29, 4
global, BestFS, CircularTrains-PT-012-CTLCardinality-3 F, 0.092, 11, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-2 F, 1.11, 664, 131
local, BestFS, CircularTrains-PT-012-CTLCardinality-13 T, 0.181, 39, 14
local, BestFS, CircularTrains-PT-012-CTLCardinality-14 F, 1.689, 586, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-12 T, 0.051, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-11 F, 0.089, 5, 4
local, BestFS, CircularTrains-PT-012-CTLCardinality-15 T, 0.148, 2, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-7 F, 5.757, 1561, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-8 T, 0.07, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-10 T, 0.043, 1, 0
local, BestFS, CircularTrains-PT-012-CTLCardinality-9 F, 1.889, 786, 195
local, BestFS, CircularTrains-PT-012-CTLCardinality-4 F, 0.059, 1, 0
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-2 F, 2326.41, 44544, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 1175.45, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 977.274, 51968, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-13 F, 879.699, 81664, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 882.264, 66812, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 831.627, 29697, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-3 T, 784.67, 29697, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 757.376, 56567, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 649.527, 44545, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 649.063, 81660, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 649.956, 37138, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 616.314, 37121, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 614.94, 26616, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-6 T, 551.699, 37120, 7424
czero, BestFS, CSRepetitions-COL-02-CTLCardinality-1 T, 524.601, 51969, 7424
global, BestFS, CSRepetitions-COL-02-CTLCardinality-4 T, 42467.7, 37138, 7424
global, BestFS, CSRepetitions-COL-02-CTLCardinality-15 T, 14320.9, 29696, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-8 F, 1078.37, 44545, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-2 F, 1067.84, 44544, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-10 T, 805.671, 66812, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-5 F, 606.272, 29697, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-7 T, 578.976, 56567, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-12 T, 539.58, 37121, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-9 F, 543.012, 81665, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-14 F, 508.836, 51968, 7424
local, BestFS, CSRepetitions-COL-02-CTLCardinality-11 F, 478.35, 44545, 7424
